epoch,step,train_loss,val_loss
0,283,,0.5124083757400513
0,283,0.6678654551506042,
1,567,,0.46009424328804016
1,567,0.4986194372177124,
2,851,,0.4427875578403473
2,851,0.44546160101890564,
3,1135,,0.4289277195930481
3,1135,0.41001376509666443,
4,1419,,0.4110022485256195
4,1419,0.3859822154045105,
5,1703,,0.41343367099761963
5,1703,0.36360472440719604,
6,1987,,0.4087284207344055
6,1987,0.3428995907306671,
7,2271,,0.4053349792957306
7,2271,0.33522921800613403,
8,2555,,0.3913940489292145
8,2555,0.33241742849349976,
9,2839,,0.39572054147720337
9,2839,0.3157033920288086,
10,3123,,0.40728476643562317
10,3123,0.30038800835609436,
11,3407,,0.42100366950035095
11,3407,0.3051014542579651,
12,3691,,0.37968358397483826
12,3691,0.2980845272541046,
13,3975,,0.3856302499771118
13,3975,0.2912212908267975,
14,4259,,0.38978806138038635
14,4259,0.2886713147163391,
15,4543,,0.39571091532707214
15,4543,0.2799536883831024,
16,4827,,0.38359522819519043
16,4827,0.2857234477996826,
17,5111,,0.3775744140148163
17,5111,0.2334807962179184,
18,5395,,0.3729720115661621
18,5395,0.23165686428546906,
19,5679,,0.37376338243484497
19,5679,0.2314811646938324,
20,5963,,0.36319270730018616
20,5963,0.22699901461601257,
21,6247,,0.3681817352771759
21,6247,0.2218608856201172,
22,6531,,0.39378389716148376
22,6531,0.2155921906232834,
23,6815,,0.38616421818733215
23,6815,0.21469300985336304,
24,7099,,0.37544727325439453
24,7099,0.20990419387817383,
25,7383,,0.3687906563282013
25,7383,0.18961454927921295,
26,7667,,0.359737753868103
26,7667,0.18592241406440735,
27,7951,,0.35833829641342163
27,7951,0.17689728736877441,
28,8235,,0.3626824915409088
28,8235,0.1678888499736786,
29,8519,,0.36069852113723755
29,8519,0.17821669578552246,
30,8803,,0.3682419955730438
30,8803,0.17677387595176697,
31,9087,,0.3660489320755005
31,9087,0.1702636033296585,
32,9371,,0.35834893584251404
32,9371,0.16635563969612122,
33,9655,,0.3576113283634186
33,9655,0.15744002163410187,
34,9939,,0.36018237471580505
34,9939,0.15292401611804962,
35,10223,,0.3529808521270752
35,10223,0.15379846096038818,
36,10507,,0.35829004645347595
36,10507,0.14874230325222015,
37,10791,,0.3515198230743408
37,10791,0.15124815702438354,
38,11075,,0.35990309715270996
38,11075,0.1486739218235016,
39,11359,,0.3572613596916199
39,11359,0.14596141874790192,
40,11643,,0.3516169488430023
40,11643,0.14683492481708527,
41,11927,,0.3597240447998047
41,11927,0.14581584930419922,
42,12211,,0.35689595341682434
42,12211,0.14200422167778015,
43,12495,,0.35691675543785095
43,12495,0.13632386922836304,
44,12779,,0.35579103231430054
44,12779,0.13496817648410797,
45,13063,,0.3520776331424713
45,13063,0.13932521641254425,
46,13347,,0.35160931944847107
46,13347,0.12740324437618256,
47,13631,,0.35312196612358093
47,13631,0.13087235391139984,
