epoch,step,train_loss,val_loss
0,283,,0.5469244122505188
0,283,0.7774538993835449,
1,567,,0.5378926992416382
1,567,0.5988996028900146,
2,851,,0.48970848321914673
2,851,0.524050772190094,
3,1135,,0.4370710551738739
3,1135,0.4992397427558899,
4,1419,,0.4356941282749176
4,1419,0.4685995578765869,
5,1703,,0.42950689792633057
5,1703,0.4506227374076843,
6,1987,,0.4152573049068451
6,1987,0.4309432804584503,
7,2271,,0.4119189977645874
7,2271,0.42454856634140015,
8,2555,,0.41179797053337097
8,2555,0.4066140055656433,
9,2839,,0.4060426950454712
9,2839,0.3945329487323761,
10,3123,,0.3981575071811676
10,3123,0.3952150046825409,
11,3407,,0.3809502124786377
11,3407,0.39346182346343994,
12,3691,,0.39196422696113586
12,3691,0.3860616683959961,
13,3975,,0.39506566524505615
13,3975,0.3753437399864197,
14,4259,,0.38898563385009766
14,4259,0.3758854866027832,
15,4543,,0.38717496395111084
15,4543,0.3738805055618286,
16,4827,,0.35960254073143005
16,4827,0.3334074318408966,
17,5111,,0.35423868894577026
17,5111,0.3175077736377716,
18,5395,,0.3649200201034546
18,5395,0.31403255462646484,
19,5679,,0.35199078917503357
19,5679,0.3096783459186554,
20,5963,,0.35028910636901855
20,5963,0.307790070772171,
21,6247,,0.3510378301143646
21,6247,0.3043234348297119,
22,6531,,0.3669988512992859
22,6531,0.30899301171302795,
23,6815,,0.3510896563529968
23,6815,0.3000175654888153,
24,7099,,0.34598127007484436
24,7099,0.28538018465042114,
25,7383,,0.34314051270484924
25,7383,0.3036893904209137,
26,7667,,0.3490322232246399
26,7667,0.2921430468559265,
27,7951,,0.3435092866420746
27,7951,0.29797014594078064,
28,8235,,0.35357844829559326
28,8235,0.2858394384384155,
29,8519,,0.35796022415161133
29,8519,0.2877756953239441,
30,8803,,0.34818020462989807
30,8803,0.2607859671115875,
31,9087,,0.3333522081375122
31,9087,0.2590377628803253,
32,9371,,0.3316229581832886
32,9371,0.2453487515449524,
33,9655,,0.3327963054180145
33,9655,0.24650245904922485,
34,9939,,0.3371732831001282
34,9939,0.24149580299854279,
35,10223,,0.3388964831829071
35,10223,0.2397468388080597,
36,10507,,0.33408617973327637
36,10507,0.23775967955589294,
37,10791,,0.33232352137565613
37,10791,0.22002865374088287,
38,11075,,0.3242322504520416
38,11075,0.2230468988418579,
39,11359,,0.32246989011764526
39,11359,0.22066567838191986,
40,11643,,0.3220466375350952
40,11643,0.21242479979991913,
41,11927,,0.3182942569255829
41,11927,0.20800340175628662,
42,12211,,0.32134735584259033
42,12211,0.20628398656845093,
43,12495,,0.3282546401023865
43,12495,0.2092875838279724,
44,12779,,0.32539305090904236
44,12779,0.20679926872253418,
45,13063,,0.3252219557762146
45,13063,0.20705057680606842,
46,13347,,0.3190157115459442
46,13347,0.20116616785526276,
47,13631,,0.3189983665943146
47,13631,0.1978936493396759,
48,13915,,0.31975018978118896
48,13915,0.19756093621253967,
49,14199,,0.32233482599258423
49,14199,0.1936175674200058,
50,14483,,0.31620219349861145
50,14483,0.1900341808795929,
51,14767,,0.3147221803665161
51,14767,0.18371419608592987,
52,15051,,0.32009613513946533
52,15051,0.1875455677509308,
53,15335,,0.3221372067928314
53,15335,0.18922002613544464,
54,15619,,0.32337117195129395
54,15619,0.18275684118270874,
55,15903,,0.3161543607711792
55,15903,0.1863747537136078,
56,16187,,0.31840643286705017
56,16187,0.17902424931526184,
57,16471,,0.3279043734073639
57,16471,0.17847399413585663,
58,16755,,0.3182143568992615
58,16755,0.17967556416988373,
59,17039,,0.31682536005973816
59,17039,0.18305592238903046,
60,17323,,0.3150434195995331
60,17323,0.18140770494937897,
61,17607,,0.321233332157135
61,17607,0.18443122506141663,
