epoch,step,train_loss,val_loss
0,274,,0.010288221761584282
0,274,0.10318388044834137,
1,549,,0.0025626851711422205
1,549,0.005237765144556761,
2,824,,0.0012751779286190867
2,824,0.0019864935893565416,
3,1099,,0.000878379272762686
3,1099,0.0011138427071273327,
4,1374,,0.0006180229247547686
4,1374,0.0007700069691054523,
5,1649,,0.0005539841949939728
5,1649,0.0006136284791864455,
6,1924,,0.0006278699147514999
6,1924,0.0005460622487589717,
7,2199,,0.0006760352989658713
7,2199,0.0005173035315237939,
8,2474,,0.0007294895476661623
8,2474,0.0005324071389622986,
9,2749,,0.0006549597019329667
9,2749,0.0005097078974358737,
10,3024,,0.0006142028723843396
10,3024,0.0004232817445881665,
11,3299,,0.00059481430798769
11,3299,0.00042560865404084325,
12,3574,,0.0005423268303275108
12,3574,0.0004262208822183311,
13,3849,,0.0005243073683232069
13,3849,0.00039135455153882504,
14,4124,,0.0006207592086866498
14,4124,0.00037775051896460354,
15,4399,,0.000411166634876281
15,4399,0.00035918119829148054,
16,4674,,0.0003607342950999737
16,4674,0.00032713526161387563,
17,4949,,0.00034738212707452476
17,4949,0.00031031586695462465,
18,5224,,0.00032205734169110656
18,5224,0.0002978300617542118,
19,5499,,0.00031448109075427055
19,5499,0.00027439097175374627,
20,5774,,0.0003093721461482346
20,5774,0.00026197725674137473,
21,6049,,0.00031294446671381593
21,6049,0.00024710476282052696,
22,6324,,0.000278233754215762
22,6324,0.00023610767675563693,
23,6599,,0.00020695144485216588
23,6599,0.0002226571668870747,
24,6874,,0.00023494947527069598
24,6874,0.00021340424427762628,
25,7149,,0.00019578041974455118
25,7149,0.00020015733025502414,
26,7424,,0.0001877544418675825
26,7424,0.0001933845633175224,
27,7699,,0.00018081715097650886
27,7699,0.00018375266517978162,
28,7974,,0.00017584877787157893
28,7974,0.00017650834342930466,
29,8249,,0.000168532133102417
29,8249,0.00016989398864097893,
30,8524,,0.00016082912043202668
30,8524,0.00016381943714804947,
31,8799,,0.00015149849059525877
31,8799,0.00015912966046016663,
32,9074,,0.00014710713003296405
32,9074,0.00015466671902686357,
33,9349,,0.00014189747162163258
33,9349,0.00015078831347636878,
34,9624,,0.00013822280743625015
34,9624,0.00014814489986747503,
35,9899,,0.00013637542724609375
35,9899,0.00014517830277327448,
36,10174,,0.0001354217529296875
36,10174,0.0001433938305126503,
37,10449,,0.0001354217529296875
37,10449,0.00014144278247840703,
38,10724,,0.00013256072998046875
38,10724,0.00014058774104341865,
39,10999,,0.00012969970703125
39,10999,0.0001394787832396105,
40,11274,,0.00013256072998046875
40,11274,0.00013826465874444693,
41,11549,,0.00012969970703125
41,11549,0.0001379986060783267,
42,11824,,0.00012874603271484375
42,11824,0.0001376618311041966,
43,12099,,0.00013256072998046875
43,12099,0.00013684428995475173,
44,12374,,0.00012874603271484375
44,12374,0.0001365556090604514,
45,12649,,0.00012874603271484375
45,12649,0.00013606234278995544,
46,12924,,0.00012683868408203125
46,12924,0.00013566215056926012,
47,13199,,0.00012111663090763614
47,13199,0.00013500169734470546,
48,13474,,0.00012016295659122989
48,13474,0.00013366038911044598,
49,13749,,0.00011444091069279239
49,13749,0.00013242417480796576,
50,14024,,0.00010967253911076114
50,14024,0.00013113605382386595,
51,14299,,9.822844731388614e-05
51,14299,0.00012981491454411298,
52,14574,,9.34600830078125e-05
52,14574,0.00012789260654244572,
53,14849,,8.96453857421875e-05
53,14849,0.00012707542919088155,
54,15124,,8.869171142578125e-05
54,15124,0.00012441835133358836,
55,15399,,8.296966552734375e-05
55,15399,0.00012360494292806834,
56,15674,,7.62939453125e-05
56,15674,0.0001243908773176372,
57,15949,,7.534027099609375e-05
57,15949,0.00012360703840386122,
58,16224,,7.534027099609375e-05
58,16224,0.00012197887554066256,
59,16499,,7.534027099609375e-05
59,16499,0.0001216661257785745,
60,16774,,7.152557373046875e-05
60,16774,0.00012093463010387495,
61,17049,,7.43865966796875e-05
61,17049,0.00012014226376777515,
62,17324,,7.343292236328125e-05
62,17324,0.00011946864833589643,
63,17599,,7.152557373046875e-05
63,17599,0.00011995431850664318,
64,17874,,7.343292236328125e-05
64,17874,0.00012077562132617459,
65,18149,,7.534027099609375e-05
65,18149,0.00012084998888894916,
66,18424,,7.43865966796875e-05
66,18424,0.00011945748701691628,
67,18699,,7.724761962890625e-05
67,18699,0.00011800186621258035,
68,18974,,7.152557373046875e-05
68,18974,0.00012330473691690713,
69,19249,,7.343292236328125e-05
69,19249,0.00011911916226381436,
70,19524,,7.343292236328125e-05
70,19524,0.00012168686225777492,
