epoch,step,train_loss,val_loss
0,283,,0.5894766449928284
0,283,0.7723953127861023,
1,567,,0.4891679584980011
1,567,0.5712054967880249,
2,851,,0.46208876371383667
2,851,0.5115789175033569,
3,1135,,0.4705190360546112
3,1135,0.478330135345459,
4,1419,,0.4400646388530731
4,1419,0.45135605335235596,
5,1703,,0.43226194381713867
5,1703,0.43053150177001953,
6,1987,,0.395722359418869
6,1987,0.42345312237739563,
7,2271,,0.4272109270095825
7,2271,0.4128396511077881,
8,2555,,0.39434680342674255
8,2555,0.40402457118034363,
9,2839,,0.4102599024772644
9,2839,0.38544705510139465,
10,3123,,0.3945232331752777
10,3123,0.39231985807418823,
11,3407,,0.4081220328807831
11,3407,0.37549394369125366,
12,3691,,0.3998207151889801
12,3691,0.3747577965259552,
13,3975,,0.3542691171169281
13,3975,0.3367917239665985,
14,4259,,0.3547457456588745
14,4259,0.32588157057762146,
15,4543,,0.35542961955070496
15,4543,0.30369988083839417,
16,4827,,0.35511112213134766
16,4827,0.3088582754135132,
17,5111,,0.3629816472530365
17,5111,0.3064529299736023,
18,5395,,0.34585410356521606
18,5395,0.2802296280860901,
19,5679,,0.34456148743629456
19,5679,0.2735367715358734,
20,5963,,0.34322744607925415
20,5963,0.26448434591293335,
21,6247,,0.3350714445114136
21,6247,0.27157774567604065,
22,6531,,0.34086355566978455
22,6531,0.2577803432941437,
23,6815,,0.3354514241218567
23,6815,0.2589319050312042,
24,7099,,0.33322080969810486
24,7099,0.2529984414577484,
25,7383,,0.3371095657348633
25,7383,0.25679898262023926,
26,7667,,0.3338685929775238
26,7667,0.2558281123638153,
27,7951,,0.33814695477485657
27,7951,0.2457670271396637,
28,8235,,0.3423146605491638
28,8235,0.24258778989315033,
29,8519,,0.33070653676986694
29,8519,0.2308667153120041,
30,8803,,0.32458236813545227
30,8803,0.22432364523410797,
31,9087,,0.32443323731422424
31,9087,0.22004005312919617,
32,9371,,0.32463133335113525
32,9371,0.21702001988887787,
33,9655,,0.32554325461387634
33,9655,0.2167053371667862,
34,9939,,0.32098859548568726
34,9939,0.2115929126739502,
35,10223,,0.3260776400566101
35,10223,0.20841515064239502,
36,10507,,0.32642799615859985
36,10507,0.21583051979541779,
37,10791,,0.3295966684818268
37,10791,0.20569437742233276,
38,11075,,0.3201053738594055
38,11075,0.2130672037601471,
39,11359,,0.3234313130378723
39,11359,0.21055658161640167,
40,11643,,0.31949108839035034
40,11643,0.19648395478725433,
41,11927,,0.315976619720459
41,11927,0.20693738758563995,
42,12211,,0.3168746531009674
42,12211,0.2001446932554245,
43,12495,,0.32570964097976685
43,12495,0.195436030626297,
44,12779,,0.3201937675476074
44,12779,0.19213028252124786,
45,13063,,0.3208102285861969
45,13063,0.19394372403621674,
46,13347,,0.31513330340385437
46,13347,0.19245779514312744,
47,13631,,0.31975021958351135
47,13631,0.18524238467216492,
48,13915,,0.3177063465118408
48,13915,0.18321409821510315,
49,14199,,0.317322701215744
49,14199,0.18041600286960602,
50,14483,,0.3189295828342438
50,14483,0.1772717386484146,
51,14767,,0.32465070486068726
51,14767,0.17942403256893158,
52,15051,,0.3198698163032532
52,15051,0.17544324696063995,
53,15335,,0.32044586539268494
53,15335,0.1682567596435547,
54,15619,,0.3282742500305176
54,15619,0.1731935441493988,
55,15903,,0.3166033923625946
55,15903,0.1726134568452835,
56,16187,,0.3197486102581024
56,16187,0.1733056604862213,
