epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.6518425941467285,
0,99,,0.47298571467399597,
0,149,,0.6550023555755615,
0,199,,0.6446607708930969,
0,249,,0.39702242612838745,
0,274,,,0.9016695618629456
0,274,0.6351037621498108,,
1,299,,0.4568901062011719,
1,349,,0.4129104018211365,
1,399,,0.36642885208129883,
1,449,,0.5043755769729614,
1,499,,0.36519792675971985,
1,549,,0.6493707895278931,
1,549,,,0.9802095293998718
1,549,0.47485148906707764,,
2,599,,0.5192843675613403,
2,649,,0.4804288148880005,
2,699,,0.25272664427757263,
2,749,,0.35331976413726807,
2,799,,0.7481493353843689,
2,824,,,1.0287067890167236
2,824,0.4132233262062073,,
3,849,,0.3366355001926422,
3,899,,0.2362334132194519,
3,949,,0.4686702489852905,
3,999,,0.4845011830329895,
3,1049,,0.4263760447502136,
3,1099,,0.31404948234558105,
3,1099,,,0.9517351388931274
3,1099,0.3847159445285797,,
4,1149,,0.36092644929885864,
4,1199,,0.17505118250846863,
4,1249,,0.2604319453239441,
4,1299,,0.3045448660850525,
4,1349,,0.4805415868759155,
4,1374,,,0.9463001489639282
4,1374,0.3615463972091675,,
5,1399,,0.3273467421531677,
5,1449,,0.30510085821151733,
5,1499,,0.3021823465824127,
5,1549,,0.28587889671325684,
5,1599,,0.17675377428531647,
5,1649,,0.38083669543266296,
5,1649,,,1.0349711179733276
5,1649,0.3151499629020691,,
6,1699,,0.1811015009880066,
6,1749,,0.3609572649002075,
6,1799,,0.2360430210828781,
6,1849,,0.23595678806304932,
6,1899,,0.23859958350658417,
6,1924,,,0.9272922277450562
6,1924,0.29939913749694824,,
7,1949,,0.4398309290409088,
7,1999,,0.2144591361284256,
7,2049,,0.4835372865200043,
7,2099,,0.25151804089546204,
7,2149,,0.19698309898376465,
7,2199,,0.33545947074890137,
7,2199,,,1.1295984983444214
7,2199,0.2893674075603485,,
8,2249,,0.2359389066696167,
8,2299,,0.29243698716163635,
8,2349,,0.3068174123764038,
8,2399,,0.22109860181808472,
8,2449,,0.18528109788894653,
8,2474,,,0.9812315106391907
8,2474,0.2747294008731842,,
9,2499,,0.2578178346157074,
9,2549,,0.2570060193538666,
9,2599,,0.19521674513816833,
9,2649,,0.1453646421432495,
9,2699,,0.19628983736038208,
9,2749,,0.20147719979286194,
9,2749,,,0.9727882146835327
9,2749,0.25333261489868164,,
10,2799,,0.31811872124671936,
10,2849,,0.27448970079421997,
10,2899,,0.25256627798080444,
10,2949,,0.4339230954647064,
10,2999,,0.34228235483169556,
10,3024,,,1.0219696760177612
10,3024,0.23892104625701904,,
