epoch,step,train_loss,val_loss
0,49,0.9675383567810059,
0,99,0.40347033739089966,
0,149,0.4936961531639099,
0,199,0.5799006819725037,
0,249,0.38661330938339233,
0,283,,0.5087253451347351
1,299,0.5008202791213989,
1,349,0.4490703344345093,
1,399,0.5658715963363647,
1,449,0.3683874309062958,
1,499,0.5654028058052063,
1,549,0.5395104885101318,
1,567,,0.4792768061161041
2,599,0.5395254492759705,
2,649,0.30803781747817993,
2,699,0.6444446444511414,
2,749,0.31402552127838135,
2,799,0.34057313203811646,
2,849,0.3191109299659729,
2,851,,0.4516301453113556
3,899,0.5268534421920776,
3,949,0.383722722530365,
3,999,0.3582072854042053,
3,1049,0.6160796880722046,
3,1099,0.31471917033195496,
3,1135,,0.431564599275589
4,1149,0.3317320942878723,
4,1199,0.9005564451217651,
4,1249,0.4079785645008087,
4,1299,0.42830994725227356,
4,1349,0.45123469829559326,
4,1399,0.595088005065918,
4,1419,,0.42920681834220886
5,1449,0.3595513105392456,
5,1499,0.45850488543510437,
5,1549,0.49398866295814514,
5,1599,0.5425092577934265,
5,1649,0.4912145137786865,
5,1699,0.439267635345459,
5,1703,,0.4212436079978943
6,1749,0.49321016669273376,
6,1799,0.2417682260274887,
6,1849,0.49684879183769226,
6,1899,0.2912617027759552,
6,1949,0.2681460678577423,
6,1987,,0.4230786859989166
7,1999,0.30534639954566956,
7,2049,0.4734202027320862,
7,2099,0.3502049446105957,
7,2149,0.46319276094436646,
7,2199,0.3802793025970459,
7,2249,0.28046420216560364,
7,2271,,0.39382052421569824
8,2299,0.29732000827789307,
8,2349,0.33067822456359863,
8,2399,0.28042057156562805,
8,2449,0.49540388584136963,
8,2499,0.31592637300491333,
8,2549,0.28626930713653564,
8,2555,,0.4039943218231201
9,2599,0.20647335052490234,
9,2649,0.3940294086933136,
9,2699,0.2149171233177185,
9,2749,0.311159610748291,
9,2799,0.28096747398376465,
9,2839,,0.4127093255519867
10,2849,0.25359025597572327,
10,2899,0.17392408847808838,
10,2949,0.38027632236480713,
10,2999,0.32910335063934326,
10,3049,0.2768755555152893,
10,3099,0.2675766348838806,
10,3123,,0.41950735449790955
11,3149,0.31574153900146484,
11,3199,0.2973451316356659,
11,3249,0.33388659358024597,
11,3299,0.2804921865463257,
11,3349,0.29920923709869385,
11,3399,0.4903562068939209,
11,3407,,0.391350656747818
12,3449,0.646172285079956,
12,3499,0.17433957755565643,
12,3549,0.30363190174102783,
12,3599,0.3096819818019867,
12,3649,0.27012574672698975,
12,3691,,0.39532676339149475
13,3699,0.4486938416957855,
13,3749,0.24544529616832733,
13,3799,0.5914244055747986,
13,3849,0.2943357527256012,
13,3899,0.31340914964675903,
13,3949,0.2602761387825012,
13,3975,,0.39124375581741333
14,3999,0.1672017127275467,
14,4049,0.27815699577331543,
14,4099,0.2411741465330124,
14,4149,0.16288994252681732,
14,4199,0.24172450602054596,
14,4249,0.22144490480422974,
14,4259,,0.3889046609401703
15,4299,0.2534702718257904,
15,4349,0.21277934312820435,
15,4399,0.2127571403980255,
15,4449,0.2515016794204712,
15,4499,0.1833418756723404,
15,4543,,0.42267805337905884
16,4549,0.3366946280002594,
16,4599,0.27282994985580444,
16,4649,0.4481489658355713,
16,4699,0.25233519077301025,
16,4749,0.6676444411277771,
16,4799,0.1961035430431366,
16,4827,,0.41108426451683044
17,4849,0.15012462437152863,
17,4899,0.24052241444587708,
17,4949,0.2030477374792099,
17,4999,0.1833561211824417,
17,5049,0.3451786935329437,
17,5099,0.24546648561954498,
17,5111,,0.4025028944015503
18,5149,0.16579315066337585,
18,5199,0.24834087491035461,
18,5249,0.33256471157073975,
18,5299,0.21617764234542847,
18,5349,0.4594256281852722,
18,5395,,0.38878729939460754
19,5399,0.1210569441318512,
19,5449,0.21384203433990479,
19,5499,0.1641785204410553,
19,5549,0.3177776038646698,
19,5599,0.25047567486763,
19,5649,0.2285301387310028,
19,5679,,0.41584452986717224
20,5699,0.23066939413547516,
20,5749,0.35032162070274353,
20,5799,0.19547772407531738,
20,5849,0.507709264755249,
20,5899,0.33079761266708374,
20,5949,0.30567508935928345,
20,5963,,0.38659748435020447
21,5999,0.16674837470054626,
21,6049,0.13213923573493958,
21,6099,0.17679090797901154,
21,6149,0.3411834239959717,
21,6199,0.21524420380592346,
21,6247,,0.4027957320213318
22,6249,0.24043211340904236,
22,6299,0.26246458292007446,
22,6349,0.13748225569725037,
22,6399,0.18524986505508423,
22,6449,0.34970009326934814,
22,6499,0.2012438178062439,
22,6531,,0.38538259267807007
23,6549,0.2298731505870819,
23,6599,0.20253612101078033,
23,6649,0.1711369901895523,
23,6699,0.3073553442955017,
23,6749,0.21853812038898468,
23,6799,0.3991263508796692,
23,6815,,0.39070239663124084
24,6849,0.3175317943096161,
24,6899,0.18809857964515686,
24,6949,0.28851258754730225,
24,6999,0.3034709692001343,
24,7049,0.47878700494766235,
24,7099,0.28993040323257446,
24,7099,,0.38719701766967773
25,7149,0.1399090439081192,
25,7199,0.25141555070877075,
25,7249,0.31189191341400146,
25,7299,0.20038285851478577,
25,7349,0.31265789270401,
25,7383,,0.383746474981308
26,7399,0.1683361828327179,
26,7449,0.24256855249404907,
26,7499,0.2849927842617035,
26,7549,0.24191851913928986,
26,7599,0.18878519535064697,
26,7649,0.23330923914909363,
26,7667,,0.4025542140007019
27,7699,0.27607426047325134,
27,7749,0.20404267311096191,
27,7799,0.2880997061729431,
27,7849,0.369260311126709,
27,7899,0.2729005217552185,
27,7949,0.12360142171382904,
27,7951,,0.3732025623321533
28,7999,0.24280783534049988,
28,8049,0.20386260747909546,
28,8099,0.5153976678848267,
28,8149,0.32941582798957825,
28,8199,0.27047890424728394,
28,8235,,0.38958048820495605
29,8249,0.2696669399738312,
29,8299,0.4468040466308594,
