,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,,6347110,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,COc1cccc(-c2cn([C@H]3C[C@H](O)[C@@H](COP(=O)([O-])[O-])O3)c(=O)[nH]c2=O)c1.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823495,,CHEMBL1852521,,0,http://qudt.org/vocab/unit#Percent,1454735,=,1,1,=,,Inhibition,%,,0.0,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,0.0
1,,,6347112,[],CHEMBL1827109,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells after 30 mins by photometric assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)cc1F.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,"{'bei': '19.14', 'le': '0.41', 'lle': '7.81', 'sei': '4.13'}",CHEMBL1823492,,CHEMBL886,6.24,0,http://www.openphacts.org/units/Nanomolar,1454732,=,1,1,=,,IC50,nM,,570.0,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,IC50,uM,UO_0000065,,0.57
2,,,6347114,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)cc1-c1ccc(F)cc1.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823494,,CHEMBL1852506,,0,http://qudt.org/vocab/unit#Percent,1454734,=,1,1,=,,Inhibition,%,,1.1,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,1.1
3,,,6347116,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,CCCCNC(=O)CCCCC#Cc1cn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823499,,CHEMBL1852479,,0,http://qudt.org/vocab/unit#Percent,1454739,=,1,1,=,,Inhibition,%,,5.5,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,5.5
4,,,6347117,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,CCCCNC(=O)CCCCC#Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823498,,CHEMBL1852616,,0,http://qudt.org/vocab/unit#Percent,1454738,=,1,1,=,,Inhibition,%,,6.4,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,6.4
5,,,6347119,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,CCCCCCCS(=O)(=O)NCC#Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823504,,CHEMBL1852518,,0,http://qudt.org/vocab/unit#Percent,1454744,=,1,1,=,,Inhibition,%,,7.2,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,7.2
6,,,6347124,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,N#C/C=C/c1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823493,,CHEMBL1852417,,0,http://qudt.org/vocab/unit#Percent,1454733,=,1,1,=,,Inhibition,%,,8.8,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,8.8
7,,,6347126,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,CCCCCC(=O)NCC#Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823501,,CHEMBL1852589,,0,http://qudt.org/vocab/unit#Percent,1454741,=,1,1,=,,Inhibition,%,,14.0,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,14.0
8,,,6347127,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,CCCC(=O)NCC#Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823502,,CHEMBL1852624,,0,http://qudt.org/vocab/unit#Percent,1454742,=,1,1,=,,Inhibition,%,,14.8,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,14.8
9,,,6347128,[],CHEMBL1827107,Inhibition of Mycobacterium tuberculosis His-tagged ThyA-mediated dTMP synthesis expressed in BL21 (DE3) Escherichia coli RbCl cells at 50 uM after 30 mins by photometric assay,B,,,BAO_0000201,BAO_0000219,cell-based format,CCCCCCCC(=O)NCC#Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.[Na+].[Na+],,,CHEMBL1821613,J Med Chem,2011,,CHEMBL1823500,,CHEMBL1852497,,0,http://qudt.org/vocab/unit#Percent,1454740,=,1,1,=,,Inhibition,%,,15.6,CHEMBL1795162,Mycobacterium tuberculosis,Thymidylate synthase,1773,,,INH,%,UO_0000187,,15.6
