,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,,12465244,[],CHEMBL3055275,Inhibition of Mycobacterium tuberculosis LigA,B,,,BAO_0000190,BAO_0000357,single protein format,c1ccc2c(c1)SCCc1c-2n(CCCCCCN2CCCCC2)c2ccccc12,,,CHEMBL3046527,Med Chem Res,2008,"{'bei': '11.63', 'le': '0.22', 'lle': '-2.13', 'sei': '59.60'}",CHEMBL2259937,,CHEMBL2259937,4.87,0,http://www.openphacts.org/units/Nanomolar,1805337,=,1,1,=,,IC50,nM,,13500.0,CHEMBL2259249,Mycobacterium tuberculosis,DNA ligase,1773,,,IC50,uM,UO_0000065,,13.5
1,,,12465245,[],CHEMBL3055275,Inhibition of Mycobacterium tuberculosis LigA,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)O[C@H]2OC([C@H](CCO)NCCCN[C@H](CCO)C3O[C@@H]4OC(C)(C)O[C@@H]4[C@H]3OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2O1,,,CHEMBL3046527,Med Chem Res,2008,"{'bei': '6.31', 'le': '0.12', 'lle': '1.36', 'sei': '3.13'}",CHEMBL2259939,,CHEMBL2259939,4.33,0,http://www.openphacts.org/units/Nanomolar,1805339,=,1,1,=,,IC50,nM,,46200.0,CHEMBL2259249,Mycobacterium tuberculosis,DNA ligase,1773,,,IC50,uM,UO_0000065,,46.2
2,,,12465246,[],CHEMBL3055275,Inhibition of Mycobacterium tuberculosis LigA,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)CC(NC(=S)NC(=O)c1ccccc1)C1O[C@H]2OC(C)(C)O[C@H]2[C@@H]1OCc1ccccc1,,,CHEMBL3046527,Med Chem Res,2008,"{'bei': '10.21', 'le': '0.20', 'lle': '2.33', 'sei': '5.17'}",CHEMBL2259938,,CHEMBL2259938,5.40,0,http://www.openphacts.org/units/Nanomolar,1805338,=,1,1,=,,IC50,nM,,4000.0,CHEMBL2259249,Mycobacterium tuberculosis,DNA ligase,1773,,,IC50,uM,UO_0000065,,4.0
3,,,12465247,[],CHEMBL3055275,Inhibition of Mycobacterium tuberculosis LigA,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)CC(C1O[C@H]2OC(C)(C)O[C@H]2[C@@H]1OCc1ccccc1)N(Cc1ccccc1)C(=O)Nc1ccc(Cl)cc1,,,CHEMBL3046527,Med Chem Res,2008,"{'bei': '8.23', 'le': '0.16', 'lle': '-1.14', 'sei': '5.25'}",CHEMBL2259941,,CHEMBL2259941,5.01,0,http://www.openphacts.org/units/Nanomolar,1805341,=,1,1,=,,IC50,nM,,9650.0,CHEMBL2259249,Mycobacterium tuberculosis,DNA ligase,1773,,,IC50,uM,UO_0000065,,9.65
4,,,12465248,[],CHEMBL3055275,Inhibition of Mycobacterium tuberculosis LigA,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCCC(C)Nc1ccnc2c1C=CC(Cl)C2,,,CHEMBL3046527,Med Chem Res,2008,"{'bei': '13.47', 'le': '0.27', 'lle': '0.16', 'sei': '15.40'}",CHEMBL2259940,,CHEMBL2259940,4.34,0,http://www.openphacts.org/units/Nanomolar,1805340,=,1,1,=,,IC50,nM,,46000.0,CHEMBL2259249,Mycobacterium tuberculosis,DNA ligase,1773,,,IC50,uM,UO_0000065,,46.0
