epoch,step,train_loss,val_loss
0,285,,0.49735844135284424
0,285,0.6627352833747864,
1,571,,0.4754876494407654
1,571,0.4780471920967102,
2,857,,0.41411224007606506
2,857,0.42946282029151917,
3,1143,,0.39662253856658936
3,1143,0.3905247747898102,
4,1429,,0.3879818022251129
4,1429,0.3677770793437958,
5,1715,,0.38450923562049866
5,1715,0.35335540771484375,
6,2001,,0.37059831619262695
6,2001,0.34390130639076233,
7,2287,,0.3687886595726013
7,2287,0.33069467544555664,
8,2573,,0.35726413130760193
8,2573,0.3165309727191925,
9,2859,,0.36855125427246094
9,2859,0.3179101347923279,
10,3145,,0.37613534927368164
10,3145,0.3041435778141022,
11,3431,,0.367089182138443
11,3431,0.30908504128456116,
12,3717,,0.35289379954338074
12,3717,0.2996256351470947,
13,4003,,0.33151930570602417
13,4003,0.28924310207366943,
14,4289,,0.3532598614692688
14,4289,0.28128936886787415,
15,4575,,0.33950382471084595
15,4575,0.28561535477638245,
16,4861,,0.35443276166915894
16,4861,0.27720242738723755,
17,5147,,0.3461269438266754
17,5147,0.28727856278419495,
18,5433,,0.3283810019493103
18,5433,0.24725963175296783,
19,5719,,0.3152278959751129
19,5719,0.22175011038780212,
20,6005,,0.3352773189544678
20,6005,0.22661817073822021,
21,6291,,0.3490535020828247
21,6291,0.2244870960712433,
22,6577,,0.3251836597919464
22,6577,0.22356122732162476,
23,6863,,0.3198377192020416
23,6863,0.22574865818023682,
24,7149,,0.3107895255088806
24,7149,0.19817893207073212,
25,7435,,0.30856412649154663
25,7435,0.18784154951572418,
26,7721,,0.3137580156326294
26,7721,0.18746145069599152,
27,8007,,0.3185655176639557
27,8007,0.18914930522441864,
28,8293,,0.3144996762275696
28,8293,0.19146084785461426,
29,8579,,0.3046806752681732
29,8579,0.18204602599143982,
30,8865,,0.31711798906326294
30,8865,0.18437211215496063,
31,9151,,0.3059251606464386
31,9151,0.17870353162288666,
32,9437,,0.3073895275592804
32,9437,0.17455092072486877,
33,9723,,0.31943708658218384
33,9723,0.1735241562128067,
34,10009,,0.30846717953681946
34,10009,0.16293923556804657,
35,10295,,0.30366578698158264
35,10295,0.15978695452213287,
36,10581,,0.30620577931404114
36,10581,0.15536147356033325,
37,10867,,0.30138540267944336
37,10867,0.159185528755188,
38,11153,,0.30098757147789
38,11153,0.15394920110702515,
39,11439,,0.3022497594356537
39,11439,0.14926747977733612,
40,11725,,0.30144649744033813
40,11725,0.14980943500995636,
41,12011,,0.30319657921791077
41,12011,0.15584968030452728,
42,12297,,0.31801217794418335
42,12297,0.1513284593820572,
43,12583,,0.30025818943977356
43,12583,0.1464342176914215,
44,12869,,0.3052932024002075
44,12869,0.1425960212945938,
45,13155,,0.3020417392253876
45,13155,0.14186105132102966,
46,13441,,0.2983151376247406
46,13441,0.1416298896074295,
47,13727,,0.30942168831825256
47,13727,0.14122256636619568,
48,14013,,0.3125823438167572
48,14013,0.14448052644729614,
49,14299,,0.2995533049106598
49,14299,0.14085647463798523,
50,14585,,0.303489625453949
50,14585,0.13961297273635864,
51,14871,,0.3026924133300781
51,14871,0.13509751856327057,
52,15157,,0.29776790738105774
52,15157,0.1345147341489792,
53,15443,,0.3069098889827728
53,15443,0.12871287763118744,
54,15729,,0.3121168315410614
54,15729,0.14085711538791656,
55,16015,,0.3046741485595703
55,16015,0.1326708197593689,
56,16301,,0.31361204385757446
56,16301,0.1320260614156723,
57,16587,,0.3069312274456024
57,16587,0.1284593939781189,
58,16873,,0.3104516267776489
58,16873,0.1321951150894165,
59,17159,,0.30158042907714844
59,17159,0.12898507714271545,
60,17445,,0.3004986643791199
60,17445,0.1327170580625534,
61,17731,,0.2998335063457489
61,17731,0.13015778362751007,
62,18017,,0.29990676045417786
62,18017,0.1281406730413437,
