epoch,label_h37rv/acc,label_h37rv/auroc,label_mdr/acc,label_mdr/auroc,label_resistant/acc,label_resistant/auroc,step,train_loss,val_loss
0,,,,,,,49,0.6457176804542542,
0,,,,,,,99,0.24363648891448975,
0,,,,,,,149,0.7393007278442383,
0,,,,,,,199,0.4123391807079315,
0,0.6595441699028015,0.7090933322906494,0.7861271500587463,0.8616907000541687,0.5882353186607361,0.671875,206,,0.6432830095291138
1,,,,,,,249,0.15277981758117676,
1,,,,,,,299,0.9057833552360535,
1,,,,,,,349,0.17443698644638062,
1,,,,,,,399,0.8491828441619873,
1,0.6794871687889099,0.724560022354126,0.8034682273864746,0.9178705215454102,0.6911764740943909,0.7586805820465088,413,,0.566490888595581
2,,,,,,,449,0.16052302718162537,
2,,,,,,,499,0.2853211760520935,
2,,,,,,,549,0.06164895370602608,
2,,,,,,,599,0.8298864960670471,
2,0.6680911779403687,0.7253608107566833,0.7919074892997742,0.8908506631851196,0.6764705777168274,0.7491319179534912,620,,0.622795820236206
3,,,,,,,649,0.16195017099380493,
3,,,,,,,699,0.6993227005004883,
3,,,,,,,749,0.48494240641593933,
3,,,,,,,799,0.05538329482078552,
3,0.690883219242096,0.7283390164375305,0.8323699235916138,0.9028892517089844,0.6323529481887817,0.7526041865348816,827,,0.6008878350257874
4,,,,,,,849,0.24751269817352295,
4,,,,,,,899,0.7413493990898132,
4,,,,,,,949,0.14666904509067535,
4,,,,,,,999,0.4888356924057007,
4,0.6994302272796631,0.7584118843078613,0.8150289058685303,0.9044944047927856,0.720588207244873,0.7864583730697632,1034,,0.5575046539306641
5,,,,,,,1049,0.31878936290740967,
5,,,,,,,1099,0.7635502219200134,
5,,,,,,,1149,1.2349392175674438,
5,,,,,,,1199,0.09386558830738068,
5,0.7044159770011902,0.7672556638717651,0.8092485666275024,0.8911182284355164,0.6764705777168274,0.7526041865348816,1241,,0.6166632771492004
6,,,,,,,1249,0.4635602831840515,
6,,,,,,,1299,0.2970963418483734,
6,,,,,,,1349,0.20326925814151764,
6,,,,,,,1399,0.13562113046646118,
6,0.7001424431800842,0.764601469039917,0.8323699235916138,0.9161316156387329,0.7352941036224365,0.8064236044883728,1448,,0.5246657729148865
7,,,,,,,1449,0.06961886584758759,
7,,,,,,,1499,0.04819398373365402,
7,,,,,,,1549,1.0812805891036987,
7,,,,,,,1599,0.08528195321559906,
7,,,,,,,1649,0.06975027173757553,
7,0.692307710647583,0.7512914538383484,0.8323699235916138,0.9198769330978394,0.7352941036224365,0.8090277910232544,1655,,0.5876648426055908
8,,,,,,,1699,0.1278875470161438,
8,,,,,,,1749,0.273260235786438,
8,,,,,,,1799,0.33645346760749817,
8,,,,,,,1849,0.07682336866855621,
8,0.7094017267227173,0.7666034698486328,0.8034682273864746,0.9008827805519104,0.6911764740943909,0.7647569179534912,1862,,0.7538536190986633
9,,,,,,,1899,0.12980136275291443,
9,,,,,,,1949,1.0222138166427612,
9,,,,,,,1999,0.19826653599739075,
9,,,,,,,2049,0.07956106960773468,
9,0.7108262181282043,0.7603518962860107,0.7803468108177185,0.9032905101776123,0.7058823704719543,0.7977430820465088,2069,,0.6448832750320435
10,,,,,,,2099,0.08157143741846085,
10,,,,,,,2149,0.07104497402906418,
10,,,,,,,2199,0.26145994663238525,
10,,,,,,,2249,0.5997155904769897,
10,0.6965811848640442,0.752439022064209,0.8323699235916138,0.9109148979187012,0.7352941036224365,0.7925347089767456,2276,,0.6750267148017883
11,,,,,,,2299,0.06191617250442505,
11,,,,,,,2349,0.26375263929367065,
11,,,,,,,2399,0.398784875869751,
11,,,,,,,2449,0.2691444754600525,
11,0.7022792100906372,0.7621537446975708,0.8265895843505859,0.9060994982719421,0.7941176295280457,0.8333333730697632,2483,,0.5984368324279785
