epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.4578430652618408,
0,99,,0.6468422412872314,
0,149,,0.5564680695533752,
0,199,,0.4737125635147095,
0,249,,0.4708935618400574,
0,274,,,0.8707237839698792
0,274,0.6167944669723511,,
1,299,,0.6721166372299194,
1,349,,0.27960455417633057,
1,399,,0.51179438829422,
1,449,,0.42071807384490967,
1,499,,0.3393701910972595,
1,549,,0.29098743200302124,
1,549,,,0.8736803531646729
1,549,0.4416522681713104,,
2,599,,0.20626577734947205,
2,649,,0.4533786177635193,
2,699,,0.44093605875968933,
2,749,,0.3818345069885254,
2,799,,0.2170533686876297,
2,824,,,0.9357762336730957
2,824,0.38507938385009766,,
3,849,,0.20688100159168243,
3,899,,0.24455538392066956,
3,949,,0.18761062622070312,
3,999,,0.27724775671958923,
3,1049,,0.2887915372848511,
3,1099,,0.31908848881721497,
3,1099,,,0.9381502866744995
3,1099,0.3429907560348511,,
4,1149,,0.31620126962661743,
4,1199,,0.21543535590171814,
4,1249,,0.2555694580078125,
4,1299,,0.33874890208244324,
4,1349,,0.5390785336494446,
4,1374,,,0.8650051355361938
4,1374,0.31958261132240295,,
5,1399,,0.17314797639846802,
5,1449,,0.2822232246398926,
5,1499,,0.3012050688266754,
5,1549,,0.32036054134368896,
5,1599,,0.18526092171669006,
5,1649,,0.25545135140419006,
5,1649,,,0.93743896484375
5,1649,0.30744078755378723,,
6,1699,,0.31638848781585693,
6,1749,,0.14145337045192719,
6,1799,,0.3288711607456207,
6,1849,,0.39994579553604126,
6,1899,,0.4107131361961365,
6,1924,,,1.0250931978225708
6,1924,0.29176080226898193,,
7,1949,,0.21571460366249084,
7,1999,,0.28626787662506104,
7,2049,,0.2817806303501129,
7,2099,,0.3178147077560425,
7,2149,,0.40436044335365295,
7,2199,,0.19138097763061523,
7,2199,,,0.9471267461776733
7,2199,0.2837483286857605,,
8,2249,,0.17650875449180603,
8,2299,,0.24367587268352509,
8,2349,,0.21277481317520142,
8,2399,,0.33867207169532776,
8,2449,,0.2650660276412964,
8,2474,,,0.875217616558075
8,2474,0.263910174369812,,
9,2499,,0.20762771368026733,
9,2549,,0.18201369047164917,
9,2599,,0.18388891220092773,
9,2649,,0.4232552945613861,
9,2699,,0.20963692665100098,
9,2749,,0.1979842334985733,
9,2749,,,0.9337596893310547
9,2749,0.22844481468200684,,
10,2799,,0.29391294717788696,
10,2849,,0.12924376130104065,
10,2899,,0.23769456148147583,
10,2949,,0.2069917470216751,
10,2999,,0.265705943107605,
10,3024,,,0.9619333148002625
10,3024,0.2200046330690384,,
11,3049,,0.16051077842712402,
11,3099,,0.32301267981529236,
11,3149,,0.3233472406864166,
11,3199,,0.10851840674877167,
11,3249,,0.29939061403274536,
11,3299,,0.26990339159965515,
11,3299,,,0.907471239566803
11,3299,0.21172185242176056,,
12,3349,,0.12486305832862854,
12,3399,,0.17760193347930908,
12,3449,,0.222853422164917,
12,3499,,0.17774413526058197,
12,3549,,0.33786898851394653,
12,3574,,,0.9512624740600586
12,3574,0.20293386280536652,,
13,3599,,0.1090257316827774,
13,3649,,0.1431119292974472,
13,3699,,0.18357634544372559,
13,3749,,0.1606234610080719,
13,3799,,0.13478383421897888,
13,3849,,0.14096932113170624,
13,3849,,,1.048573613166809
13,3849,0.1798621267080307,,
14,3899,,0.2016463279724121,
14,3949,,0.17573502659797668,
14,3999,,0.1627892553806305,
14,4049,,0.25121593475341797,
14,4099,,0.09937714040279388,
14,4124,,,0.981200635433197
14,4124,0.17099320888519287,,
